"Colony","Concentration","Consumed","Died","Alive","Total","Cage"
"A",10000,3,1,122,123,"1A"
"A",5000,3,69,53,122,"2A"
"A",1000,3,5,131,136,"3A"
"A",500,0.3,112,14,126,"4A"
"A",100,0.3,2,210,212,"5A"
"A",0,3,6,121,127,"6A"
"A",10000,3,2,93,95,"7A"
"A",5000,3,13,111,124,"8A"
"A",1000,1.9,0,136,136,"9A"
"A",500,0.1,7,128,135,"10A"
"A",100,2.1,137,31,168,"11A"
"A",0,2.2,1,126,127,"12A"
"B",10000,3,4,109,113,"13B"
"B",5000,1.7,20,208,228,"14B"
"B",1000,0.9,3,157,160,"15B"
"B",500,1.5,191,14,205,"16B"
"B",100,1.6,106,9,115,"17B"
"B",0,3,4,147,151,"18B"
"B",10000,0.5,3,267,170,"19B"
"B",5000,2.5,9,72,81,"20B"
"B",1000,3,3,112,115,"21B"
"B",500,0.4,139,8,147,"22B"
"B",100,1.1,132,30,132,"23B"
"B",0,0.4,3,106,109,"24B"
"C",10000,1.6,1,130,131,"25C"
"C",5000,2.2,1,104,105,"26C"
"C",1000,0.4,2,95,97,"27C"
"C",500,0.3,2,130,132,"28C"
"C",100,0.2,1,134,135,"29C"
"C",0,3,2,159,161,"30C"
"C",10000,3,3,149,152,"31C"
"C",5000,0.2,0,158,158,"32C"
"C",1000,1.5,7,75,82,"33C"
"C",500,0.5,99,20,119,"34C"
"C",100,0.3,5,152,157,"35C"
"C",0,0.6,2,186,188,"36C"
